,reconstruction_error,Label_x,index,cpu_usage,memory_usage[kb],label,timestamp,timestamp1,Timestamp [ms],"	CPU cores","	CPU capacity provisioned [MHZ]","	CPU usage [MHZ]","	CPU usage [%]","	Memory capacity provisioned [KB]","	Memory usage [KB]","	Disk read throughput [KB/s]","	Disk write throughput [KB/s]","	Network received throughput [KB/s]","	Network transmitted throughput [KB/s]",Label_y
73,1.49E-05,0,4046,0.583333333,0,0,13766570561,13766534061,1377529972,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1.133333333,0,1,0
74,1.43E-05,0,8057,0.7,0,0,13766571161,13766534161,1378733983,4,11703.99824,81.92798768,0.7,67108864,0,0,1,0,1,0
75,1.42E-05,0,914,0.716666667,0,0,13766571761,13766534261,1376589071,4,11703.99824,83.87865405,0.716666667,67108864,0,0,0.333333333,0,1,0
76,1.50E-05,0,4191,0.553571429,0,0,13766572361,13766534361,1377573776,4,11703.99824,64.78999026,0.553571429,67108864,0,0,0.5,0,1,0
77,1.53E-05,0,919,0.5,0,0,13766572961,13766534461,1376590570,4,11703.99824,58.5199912,0.5,67108864,0,0,0.533333333,0,1,0
78,1.43E-05,0,3621,0.7,0,0,13766573561,13766534561,1377402462,4,11703.99824,81.92798768,0.7,67108864,0,0,0.533333333,0,1,0
79,1.51E-05,0,5081,0.55,0,0,13766574161,13766534661,1377841096,4,11703.99824,64.37199032,0.55,67108864,0,0,0.666666667,0,1,0
80,1.46E-05,0,2332,0.633333333,0,0,13766574761,13766534761,1377015125,4,11703.99824,74.12532219,0.633333333,67108864,0,0,0.333333333,0,1,0
81,1.48E-05,0,7788,0.6,0,0,13766575361,13766534861,1378653275,4,11703.99824,70.22398944,0.6,67108864,0,0,1,0,1,0
82,1.50E-05,0,6273,0.566666667,0,0,13766575961,13766534961,1378198730,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
83,1.51E-05,0,4336,0.55,0,0,13766576561,13766535061,1377617279,4,11703.99824,64.37199032,0.55,67108864,0,0,0.666666667,0.133333333,1,0
84,1.44E-05,0,7521,0.683333333,0,0,13766577161,13766535161,1378573166,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1,0,1,0
85,1.46E-05,0,1814,0.633333333,0,0,13766577761,13766535261,1376859097,4,11703.99824,74.12532219,0.633333333,67108864,0,0,0.666666667,0,1,0
86,1.46E-05,0,4165,0.642857143,0,0,13766578361,13766535361,1377565974,4,11703.99824,75.23998869,0.642857143,67108864,0,0,0.642857143,0,1,0
87,1.47E-05,0,1506,0.616666667,0,0,13766578961,13766535461,1376766686,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,1,0
88,1.50E-05,0,4885,0.566666667,0,0,13766579561,13766535561,1377782292,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.4,0,1,0
89,1.47E-05,0,7539,0.616666667,0,0,13766580161,13766535661,1378578567,4,11703.99824,72.17465581,0.616666667,67108864,0,0,1,0,1,0
90,1.48E-05,0,2859,0.6,0,0,13766580761,13766535761,1377173241,4,11703.99824,70.22398944,0.6,67108864,0,0,0.333333333,0,1,0
91,1.44E-05,0,6961,0.683333333,0,0,13766581361,13766535861,1378405151,4,11703.99824,79.97732131,0.683333333,67108864,0,0,0.733333333,0,1,0
92,1.47E-05,0,2649,0.616666667,0,0,13766581961,13766535961,1377110235,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.533333333,0,1,0
93,1.50E-05,0,3494,0.566666667,0,0,13766582561,13766536061,1377363757,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.6,0,1,0
94,1.49E-05,0,3277,0.583333333,0,0,13766583161,13766536161,1377298652,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.533333333,0,1,0
95,1.43E-05,0,6499,0.7,0,0,13766583761,13766536261,1378266537,4,11703.99824,81.92798768,0.7,67108864,0,0,14.86666667,0,1.066666667,0
96,1.49E-05,0,4627,0.783333333,268435.2,0,13766584361,13766536361,1377704885,4,11703.99824,91.68131955,0.783333333,67108864,268435.2,131.3333333,20.86666667,0.266666667,1.4,0
97,1.53E-05,0,5206,0.516666667,0,0,13766584961,13766536461,1377878599,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.533333333,0,1,0
98,1.49E-05,0,7462,0.583333333,0,0,13766585561,13766536561,1378555465,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1,0,1,0
99,1.42E-05,0,5263,0.716666667,0,0,13766586161,13766536661,1377895700,4,11703.99824,83.87865405,0.716666667,67108864,0,0,0.533333333,0,1,0
100,1.45E-05,0,1133,0.666666667,0,0,13766586761,13766536761,1376654776,4,11703.99824,78.02665493,0.666666667,67108864,0,0,0.466666667,0,1,0
101,1.49E-05,0,3863,0.583333333,0,0,13766587361,13766536861,1377475067,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1.2,0,1,0
102,0.000399522,0,6298,17.4,268435.2,0,13766587961,13766536961,1378206230,4,11703.99824,2036.495694,17.4,67108864,268435.2,2.533333333,1.733333333,741.7333333,18.2,0
103,1.50E-05,0,3231,0.566666667,0,0,13766588561,13766537061,1377284851,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
104,1.53E-05,0,3868,0.516666667,0,0,13766589161,13766537161,1377476567,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.333333333,0,1.066666667,0
105,1.45E-05,0,5219,0.65,0,0,13766589761,13766537261,1377882500,4,11703.99824,76.07598856,0.65,67108864,0,0,0.466666667,0,1,0
106,0.036183384,0,7113,0.716666667,9976849.867,0,13766590361,13766537361,1378450755,4,11703.99824,83.87865405,0.716666667,67108864,9976849.867,0,0.933333333,0,1,0
107,2.41E-05,0,447,0.55,313174.4,0,13766590961,13766537461,1376448957,4,11703.99824,64.37199032,0.55,67108864,313174.4,0,1.333333333,0,1,0
108,1.49E-05,0,2441,0.583333333,0,0,13766591561,13766537561,1377047829,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.333333333,0,1,0
109,1.45E-05,0,7241,0.666666667,0,0,13766592161,13766537661,1378489159,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1.666666667,0,1,0
110,1.08E-05,0,2694,0.7,44739.2,0,13766592761,13766537761,1377123737,4,11703.99824,81.92798768,0.7,67108864,44739.2,0,0.866666667,0,0.933333333,0
111,1.46E-05,0,4068,0.633333333,0,0,13766593361,13766537861,1377536872,4,11703.99824,74.12532219,0.633333333,67108864,0,0,0.6,0,1,0
112,1.43E-05,0,3592,0.7,0,0,13766593961,13766537961,1377393761,4,11703.99824,81.92798768,0.7,67108864,0,0,0.466666667,0,1,0
113,1.45E-05,0,6238,0.666666667,0,0,13766594561,13766538061,1378188228,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1.133333333,0,1,0
114,9.37E-06,0,7403,0.983333333,44739.2,0,13766595161,13766538161,1378537763,4,11703.99824,115.089316,0.983333333,67108864,44739.2,131.3333333,22.93333333,0,1.4,0
115,0.00038306,0,8278,89.03333333,9618935.733,0,13766595761,13766538261,1378800289,4,11703.99824,10420.45977,89.03333333,67108864,9618935.733,0.533333333,21410.53333,0,1.333333333,0
116,1.47E-05,0,3324,0.616666667,0,0,13766596361,13766538361,1377312753,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.333333333,0,1,0
117,1.47E-05,0,3548,0.616666667,0,0,13766596961,13766538461,1377379959,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.666666667,0,1,0
118,1.53E-05,0,1960,0.5,0,0,13766597561,13766538561,1376902904,4,11703.99824,58.5199912,0.5,67108864,0,0,0.466666667,0,1,0
119,1.51E-05,0,2322,0.55,0,0,13766598161,13766538661,1377011826,4,11703.99824,64.37199032,0.55,67108864,0,0,1,0,1,0
120,1.51E-05,0,5970,0.55,0,0,13766598761,13766538761,1378107820,4,11703.99824,64.37199032,0.55,67108864,0,0,0.4,0,1,0
121,1.50E-05,0,109,0.566666667,0,0,13766599361,13766538861,1376347548,4,11703.99824,66.32265669,0.566666667,67108864,0,0,1.333333333,0,1,0
122,1.49E-05,0,5497,0.583333333,0,0,13766599961,13766538961,1377965907,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.666666667,0,1,0
123,1.48E-05,0,1620,0.6,0,0,13766600561,13766539061,1376800893,4,11703.99824,70.22398944,0.6,67108864,0,0,0.533333333,0,1,0
124,1.45E-05,0,1798,0.666666667,0,0,13766601161,13766539161,1376854297,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1,0,1,0
125,1.44E-05,0,6842,0.683333333,0,0,13766601761,13766539261,1378369448,4,11703.99824,79.97732131,0.683333333,67108864,0,0,0.733333333,0,1,0
126,1.45E-05,0,6759,0.666666667,0,0,13766602361,13766539361,1378344545,4,11703.99824,78.02665493,0.666666667,67108864,0,0,0.466666667,0,1,0
127,1.43E-05,0,5368,0.7,0,0,13766602961,13766539461,1377927203,4,11703.99824,81.92798768,0.7,67108864,0,0,0.333333333,0,1,0
128,1.44E-05,0,7000,0.683333333,0,0,13766603561,13766539561,1378416851,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1.2,0,1,0
129,1.47E-05,0,3517,0.616666667,0,0,13766604161,13766539661,1377370658,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,1,0
130,1.53E-05,0,3788,0.516666667,0,0,13766604761,13766539761,1377452566,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.466666667,0,1,0
131,1.50E-05,0,3655,0.566666667,0,0,13766605361,13766539861,1377412663,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
132,1.42E-05,0,4586,0.716666667,0,0,13766605961,13766539961,1377692584,4,11703.99824,83.87865405,0.716666667,67108864,0,0,0.6,0,1,0
133,1.48E-05,0,4651,0.6,0,0,13766606561,13766540061,1377712086,4,11703.99824,70.22398944,0.6,67108864,0,0,0.533333333,0,1,0
134,1.50E-05,0,31,0.566666667,0,0,13766607161,13766540161,1376324147,4,11703.99824,66.32265669,0.566666667,67108864,0,0,1.333333333,0,1,0
135,1.50E-05,0,4358,0.566666667,0,0,13766607761,13766540261,1377623879,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.666666667,0,1,0
136,1.47E-05,0,2277,0.616666667,0,0,13766608361,13766540361,1376998324,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.533333333,0,1,0
137,1.45E-05,0,1940,0.65,0,0,13766608961,13766540461,1376896904,4,11703.99824,76.07598856,0.65,67108864,0,0,0.533333333,0,1,0
138,1.52E-05,0,99,0.533333333,0,0,13766609561,13766540561,1376344548,4,11703.99824,62.42132395,0.533333333,67108864,0,0,1.333333333,0,1,0
139,1.51E-05,0,2787,0.55,0,0,13766610161,13766540661,1377151639,4,11703.99824,64.37199032,0.55,67108864,0,0,0.6,0,1,0
140,1.51E-05,0,2114,0.55,0,0,13766610761,13766540761,1376949109,4,11703.99824,64.37199032,0.55,67108864,0,0,0.866666667,0,1.066666667,0
141,1.52E-05,0,5523,0.533333333,0,0,13766611361,13766540861,1377973707,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.6,0,1,0
142,1.46E-05,0,2170,0.633333333,0,0,13766611961,13766540961,1376965911,4,11703.99824,74.12532219,0.633333333,67108864,0,0,0.666666667,0,1,0
143,1.47E-05,0,6354,0.616666667,0,0,13766612561,13766541061,1378223032,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.666666667,0,1,0
144,1.48E-05,0,1568,0.6,0,0,13766613161,13766541161,1376785292,4,11703.99824,70.22398944,0.6,67108864,0,32.66666667,4,0,1,0
145,1.48E-05,0,6184,0.6,0,0,13766613761,13766541261,1378172027,4,11703.99824,70.22398944,0.6,67108864,0,0,0.666666667,0,1,0
146,1.43E-05,0,2871,0.7,0,0,13766614361,13766541361,1377176841,4,11703.99824,81.92798768,0.7,67108864,0,0,0.666666667,0,1,0
147,1.49E-05,0,20,0.583333333,0,0,13766614961,13766541461,1376320846,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1.333333333,0,1,0
148,1.52E-05,0,3893,0.533333333,0,0,13766615561,13766541561,1377484068,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.333333333,0,1,0
149,1.52E-05,0,2558,0.533333333,0,0,13766616161,13766541661,1377082932,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.6,0,1,0
150,1.49E-05,0,445,0.583333333,0,0,13766616761,13766541761,1376448357,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1.333333333,0,1,0
151,1.48E-05,0,1025,0.6,0,0,13766617361,13766541861,1376622373,4,11703.99824,70.22398944,0.6,67108864,0,0,0.533333333,0,1,0
152,1.45E-05,0,7863,0.666666667,0,0,13766617961,13766541961,1378675777,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1,0,1,0
153,1.49E-05,0,2291,0.583333333,0,0,13766618561,13766542061,1377002524,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.6,0,1,0
154,1.47E-05,0,5185,0.616666667,0,0,13766619161,13766542161,1377872299,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.666666667,0,1,0
155,1.49E-05,0,3894,0.583333333,0,0,13766619761,13766542261,1377484368,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.333333333,0,1,0
156,1.51E-05,0,1581,0.55,0,0,13766620361,13766542361,1376789191,4,11703.99824,64.37199032,0.55,67108864,0,0,1,0,1.066666667,0
157,1.45E-05,0,5771,0.666666667,0,0,13766620961,13766542461,1378048115,4,11703.99824,78.02665493,0.666666667,67108864,0,0,0.866666667,0,1,0
158,1.47E-05,0,2706,0.616666667,0,0,13766621561,13766542561,1377127337,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,0.933333333,0
159,1.47E-05,0,5639,0.616666667,0,0,13766622161,13766542661,1378008511,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.666666667,0,1,0
160,1.51E-05,0,1815,0.55,0,0,13766622761,13766542761,1376859397,4,11703.99824,64.37199032,0.55,67108864,0,0,0.6,0,1,0
161,1.53E-05,0,189,0.5,0,0,13766623361,13766542861,1376371550,4,11703.99824,58.5199912,0.5,67108864,0,0,2,0,1,0
162,1.45E-05,0,2782,0.65,0,0,13766623961,13766542961,1377150139,4,11703.99824,76.07598856,0.65,67108864,0,0,0.733333333,0,1,0
163,1.48E-05,0,5301,0.6,0,0,13766624561,13766543061,1377907102,4,11703.99824,70.22398944,0.6,67108864,0,0,1.066666667,0,1.066666667,0
164,1.53E-05,0,5443,0.516666667,0,0,13766625161,13766543161,1377949705,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.666666667,0,1,0
165,1.45E-05,0,8598,0.666666667,0,0,13766625761,13766543261,1378896297,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1,0,1,0
166,1.50E-05,0,2980,0.566666667,0,0,13766626361,13766543361,1377209545,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.333333333,0,1,0
167,1.49E-05,0,2688,0.583333333,0,0,13766626961,13766543461,1377121936,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.533333333,0,1,0
168,1.44E-05,0,7624,0.683333333,0,0,13766627561,13766543561,1378604069,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1,0,1,0
169,1.50E-05,0,3289,0.566666667,0,0,13766628161,13766543661,1377302252,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
170,1.45E-05,0,8073,0.65,0,0,13766628761,13766543761,1378738783,4,11703.99824,76.07598856,0.65,67108864,0,0,1,0,1,0
171,1.49E-05,0,2442,0.583333333,0,0,13766629361,13766543861,1377048129,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.533333333,0,1,0
172,1.42E-05,0,1483,0.733333333,0,0,13766629961,13766543961,1376759786,4,11703.99824,85.82932043,0.733333333,67108864,0,0,14.06666667,0,1,0
173,1.52E-05,0,1528,0.533333333,0,0,13766630561,13766544061,1376773287,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.533333333,0,1,0
